p1,p2,Winner
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Bowler', 'Freeze', 'Inferno Dragon', 'Lumberjack', 'Tornado']",p2
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Arrows', 'Balloon', 'Barbarians', 'Inferno Dragon', 'Lava Hound', 'Miner', 'Skeleton Dragons', 'Zap']",p1
"['Dark Prince', 'Goblin Giant', 'Mega Minion', 'Mini P.E.K.K.A', 'Mother Witch', 'Rage', 'Sparky', 'Zap']","['Baby Dragon', 'Dark Prince', 'Electro Dragon', 'Golem', 'Mini P.E.K.K.A', 'Prince', 'Skeleton Dragons', 'Tornado']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Arrows', 'Balloon', 'Fire Spirit', 'Hunter', 'Lightning', 'Lumberjack', 'Skeleton Army', 'Valkyrie']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Balloon', 'Dark Prince', 'Electro Wizard', 'Fireball', 'Mega Minion', 'Miner', 'P.E.K.K.A', 'Zap']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Electro Dragon', 'Fireball', 'Goblin Hut', 'Miner', 'Mother Witch', 'P.E.K.K.A', 'Poison', 'Tornado']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Arrows', 'Bats', 'Dark Prince', 'Electro Wizard', 'Giant', 'Skeleton Army', 'Sparky', 'Zap']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Arrows', 'Battle Healer', 'Electro Dragon', 'Elite Barbarians', 'Elixir Golem', 'Inferno Dragon', 'Rage', 'Zap']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Bomber', 'Earthquake', 'Electro Spirit', 'Hunter', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Bowler', 'Freeze', 'Inferno Dragon', 'Lumberjack', 'Tornado']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Baby Dragon', 'Barbarian Hut', 'Cannon Cart', 'Electro Dragon', 'Golem', 'Lightning', 'Night Witch', 'Tornado']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Earthquake', 'Elite Barbarians', 'Firecracker', 'Goblin Cage', 'Hunter', 'Royal Hogs', 'Skeletons', 'The Log']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Electro Wizard', 'Fireball', 'Hog Rider', 'Inferno Tower', 'Knight', 'Skeleton Army', 'The Log', 'Witch']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Arrows', 'Balloon', 'Barbarians', 'Inferno Dragon', 'Lava Hound', 'Lightning', 'Miner', 'Skeletons']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Bandit', 'Battle Ram', 'Dark Prince', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Zap']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Electro Spirit', 'Goblin Barrel', 'Goblin Gang', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Archers', 'Balloon', 'Electro Wizard', 'Fireball', 'Golem', 'Musketeer', 'Skeleton Army', 'The Log']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Dark Prince', 'Electro Wizard', 'Elite Barbarians', 'Goblin Giant', 'Mega Minion', 'Rage', 'Sparky', 'Zap']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Balloon', 'Bats', 'Goblin Gang', 'Ice Golem', 'Inferno Dragon', 'Mega Knight', 'Miner', 'Zap']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Barbarian Barrel', 'Dark Prince', 'Fireball', 'Fisherman', 'Goblin Cage', 'Mega Minion', 'Mother Witch', 'Royal Giant']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Archer Queen', 'Dark Prince', 'Electro Wizard', 'Goblin Giant', 'Mini P.E.K.K.A', 'Rage', 'Sparky', 'Zap']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Fireball', 'Goblin Barrel', 'Golem', 'Mega Minion', 'Mini P.E.K.K.A', 'Skeleton Army', 'The Log', 'Witch']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Bandit', 'Electro Wizard', 'Fireball', 'Golden Knight', 'Magic Archer', 'Mega Knight', 'Mother Witch', 'Skeletons']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Cannon Cart', 'Earthquake', 'Furnace', 'Goblin Hut', 'Mega Knight', 'Mega Minion', 'Mother Witch', 'Tornado']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Barbarians', 'Elixir Collector', 'Freeze', 'Furnace', 'Golem', 'Graveyard', 'Minion Horde', 'Witch']",p2
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Arrows', 'Dark Prince', 'Electro Wizard', 'Goblin Barrel', 'Inferno Tower', 'Knight', 'Magic Archer', 'Mega Knight']",p1
"['Cannon Cart', 'Fireball', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Skeleton Dragons', 'Skeletons', 'The Log']","['Barbarian Barrel', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Lightning', 'Mini P.E.K.K.A', 'Skeletons', 'Tornado']",p1
"['Balloon', 'Fireball', 'Goblin Cage', 'Ice Golem', 'Inferno Dragon', 'Mega Minion', 'Miner', 'Zap']","['Archer Queen', 'Fireball', 'Ice Golem', 'Miner', 'Spear Goblins', 'Tesla', 'The Log', 'Wall Breakers']",p1
"['Balloon', 'Fireball', 'Goblin Cage', 'Ice Golem', 'Inferno Dragon', 'Mega Minion', 'Miner', 'Zap']","['Earthquake', 'Electro Spirit', 'Goblin Cage', 'Hunter', 'Royal Delivery', 'Royal Hogs', 'Spear Goblins', 'The Log']",p1
"['Balloon', 'Fireball', 'Goblin Cage', 'Ice Golem', 'Inferno Dragon', 'Mega Minion', 'Miner', 'Zap']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Fire Spirit', 'Firecracker', 'Hog Rider', 'Lightning', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Dark Prince', 'Goblin Barrel', 'Goblin Gang', 'Golden Knight', 'Princess', 'Rascals', 'Rocket', 'The Log']",p1
"['Fire Spirit', 'Firecracker', 'Hog Rider', 'Lightning', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Baby Dragon', 'Bowler', 'Freeze', 'Graveyard', 'Ice Wizard', 'Inferno Dragon', 'Tornado', 'Valkyrie']",p1
"['Fire Spirit', 'Firecracker', 'Hog Rider', 'Lightning', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Balloon', 'Furnace', 'Guards', 'Inferno Dragon', 'Lumberjack', 'Mirror', 'Poison', 'Valkyrie']",p2
"['Fire Spirit', 'Firecracker', 'Hog Rider', 'Lightning', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Archer Queen', 'Barbarian Barrel', 'Fireball', 'Flying Machine', 'Goblin Cage', 'Royal Hogs', 'Royal Recruits', 'Zappies']",p1
"['Earthquake', 'Fire Spirit', 'Firecracker', 'Hog Rider', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Barbarian Barrel', 'Elite Barbarians', 'Elixir Collector', 'Heal Spirit', 'Ice Golem', 'Mother Witch', 'Royal Ghost', 'Three Musketeers']",p1
"['Earthquake', 'Fire Spirit', 'Firecracker', 'Hog Rider', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Battle Ram', 'Electro Wizard', 'Fireball', 'Golden Knight', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p2
"['Earthquake', 'Fire Spirit', 'Firecracker', 'Hog Rider', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']","['Bandit', 'Dark Prince', 'Goblin Barrel', 'Goblin Gang', 'Princess', 'Rascals', 'Rocket', 'The Log']",p2
