p1,p2,Winner
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Arrows', 'Dark Prince', 'Elite Barbarians', 'Fireball', 'Goblin Giant', 'Minion Horde', 'Mother Witch', 'Sparky']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Bandit', 'Elite Barbarians', 'Fireball', 'Golden Knight', 'Heal Spirit', 'Inferno Dragon', 'Magic Archer', 'Mother Witch']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Battle Healer', 'Electro Dragon', 'Elixir Golem', 'Fireball', 'Magic Archer', 'Mother Witch', 'Tornado']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Goblin Cage', 'Lava Hound', 'Lightning', 'Skeletons']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Cannon', 'Fire Spirit', 'Fireball', 'Hog Rider', 'Ice Golem', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Arrows', 'Bats', 'Giant', 'Mini P.E.K.K.A', 'Minion Horde', 'Skeleton Army', 'Sparky', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Bats', 'Firecracker', 'Hog Rider', 'Ice Golem', 'Ice Spirit', 'Mini P.E.K.K.A', 'Rocket', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Bandit', 'Barbarian Barrel', 'Flying Machine', 'Goblin Hut', 'Mega Knight', 'Mother Witch', 'Poison', 'Zappies']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Balloon', 'Barbarian Barrel', 'Bomb Tower', 'Giant Snowball', 'Ice Golem', 'Miner', 'Skeletons']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Electro Spirit', 'Fireball', 'Fisherman', 'Mega Minion', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Goblin Cage', 'Lava Hound', 'Lightning', 'Skeletons']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Fisherman', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Archer Queen', 'Barbarian Barrel', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Tornado']",p2
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Arrows', 'Dark Prince', 'Giant', 'Giant Snowball', 'Graveyard', 'Minions', 'Musketeer', 'Skeleton Army']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Archer Queen', 'Bandit', 'Barbarian Barrel', 'Electro Spirit', 'Lightning', 'Mega Knight', 'Ram Rider', 'Royal Ghost']",p2
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Electro Spirit', 'Goblin Barrel', 'Princess', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Bandit', 'Elite Barbarians', 'Executioner', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Archer Queen', 'Bandit', 'Barbarian Barrel', 'Dark Prince', 'Fireball', 'Inferno Dragon', 'Mega Knight', 'Ram Rider']",p2
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Arrows', 'Baby Dragon', 'Barbarians', 'Flying Machine', 'Lava Hound', 'Mega Minion', 'Miner', 'Tombstone']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Cannon', 'Fire Spirit', 'Hog Rider', 'Ice Golem', 'Lightning', 'Musketeer', 'Skeletons', 'The Log']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Firecracker', 'Goblin Barrel', 'Goblin Gang', 'Skeleton Army', 'Skeleton Barrel', 'Tesla', 'Valkyrie', 'Wall Breakers']",p1
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Golden Knight', 'Ice Spirit', 'Miner', 'Poison', 'Royal Delivery', 'Skeletons', 'Tesla', 'The Log']",p2
"['Golden Knight', 'Heal Spirit', 'Hunter', 'Ice Golem', 'Royal Hogs', 'Skeletons', 'The Log', 'Three Musketeers']","['Archers', 'Electro Spirit', 'Knight', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p1
