p1,p2,Winner
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Dark Prince', 'Electro Dragon', 'Fireball', 'Giant', 'Mega Minion', 'Miner', 'Prince', 'Zap']",p2
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Lightning', 'Tornado']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Barbarian Barrel', 'Elite Barbarians', 'Elixir Collector', 'Heal Spirit', 'Ice Golem', 'Royal Ghost', 'Three Musketeers']",p2
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Goblin Cage', 'Graveyard', 'Knight', 'Poison', 'Tornado']",p2
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Barbarian Barrel', 'Electro Wizard', 'Inferno Dragon', 'Mega Knight', 'Mother Witch', 'Poison', 'Ram Rider']",p2
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Barbarian Barrel', 'Dark Prince', 'Electro Wizard', 'Fireball', 'Mother Witch', 'P.E.K.K.A', 'Ram Rider']",p1
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Lightning', 'Mega Minion', 'Tornado']",p1
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Balloon', 'Barbarian Barrel', 'Bomb Tower', 'Giant Snowball', 'Ice Golem', 'Miner', 'Musketeer', 'Skeletons']",p1
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Barbarian Barrel', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Mother Witch', 'Tornado']",p1
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Archer Queen', 'Arrows', 'Battle Healer', 'Bomber', 'Electro Dragon', 'Elixir Golem', 'Inferno Dragon', 'Rage']",p2
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Executioner', 'Guards', 'Hog Rider', 'Ice Spirit', 'Rocket', 'The Log', 'Tornado', 'Valkyrie']",p1
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Barbarian Barrel', 'Barbarian Hut', 'Battle Healer', 'Electro Dragon', 'Elixir Golem', 'Fireball', 'Skeleton Dragons', 'Tornado']",p1
"['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Bats', 'Dark Prince', 'Fireball', 'Goblin Gang', 'Goblin Giant', 'Prince', 'Spear Goblins', 'Zap']",p2
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Arrows', 'Barbarian Barrel', 'Fireball', 'Flying Machine', 'Goblin Cage', 'Royal Hogs', 'Royal Recruits', 'Zappies']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Archer Queen', 'Barbarian Barrel', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Tornado']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Archers', 'Electro Spirit', 'Knight', 'Rage', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Battle Healer', 'Electro Dragon', 'Elixir Golem', 'Heal Spirit', 'Inferno Dragon', 'Night Witch', 'Rage', 'Tornado']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Arrows', 'Bats', 'Giant', 'Mini P.E.K.K.A', 'Minion Horde', 'Skeleton Army', 'Sparky', 'Zap']",p2
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Bandit', 'Battle Ram', 'Dark Prince', 'Electro Wizard', 'Magic Archer', 'P.E.K.K.A', 'Poison', 'Zap']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Barbarian Barrel', 'Bats', 'Fireball', 'Goblin Gang', 'Miner', 'Mortar', 'Prince', 'Spear Goblins']",p2
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Archer Queen', 'Fire Spirit', 'Hog Rider', 'Lightning', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']",p2
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Archer Queen', 'Barbarian Barrel', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Tornado']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Bandit', 'Barbarian Barrel', 'Elite Barbarians', 'Elixir Collector', 'Heal Spirit', 'Ice Golem', 'Royal Ghost', 'Three Musketeers']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']",p2
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Bats', 'Dark Prince', 'Fireball', 'Goblin Giant', 'Guards', 'Prince', 'Spear Goblins', 'Zap']",p1
"['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']","['Baby Dragon', 'Battle Healer', 'Electro Dragon', 'Elixir Golem', 'Fireball', 'The Log', 'Tombstone', 'Tornado']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Balloon', 'Barbarian Barrel', 'Bomb Tower', 'Giant Snowball', 'Ice Golem', 'Miner', 'Musketeer', 'Skeletons']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Cannon Cart', 'Fireball', 'Goblin Gang', 'Miner', 'Minion Horde', 'Mortar', 'Spear Goblins', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Earthquake', 'Electro Spirit', 'Hunter', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Bowler', 'Electro Giant', 'Goblin Cage', 'Guards', 'Inferno Dragon', 'Lightning', 'Mother Witch', 'Tornado']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Balloon', 'Electro Wizard', 'Fireball', 'Giant', 'Minions', 'Night Witch', 'Prince']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Goblin Cage', 'Lava Hound', 'Lightning', 'Skeletons']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Dark Prince', 'Fireball', 'Giant', 'Mega Minion', 'Minions', 'Prince', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Baby Dragon', 'Bats', 'Clone', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Knight', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Tornado', 'X-Bow']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Barbarian Barrel', 'Electro Spirit', 'Fireball', 'Flying Machine', 'Goblin Cage', 'Royal Hogs', 'Royal Recruits', 'Zappies']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Baby Dragon', 'Barbarian Barrel', 'Cannon Cart', 'Electro Dragon', 'Golem', 'Lumberjack', 'Mega Minion', 'Tornado']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Elite Barbarians', 'Goblin Giant', 'Heal Spirit', 'Mega Minion', 'Mother Witch', 'Rage', 'Sparky', 'Zap']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Graveyard', 'Ice Wizard', 'Knight', 'Poison', 'Tornado']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Electro Spirit', 'Goblin Barrel', 'Princess', 'Rocket', 'Skeletons', 'Tesla', 'The Log', 'Valkyrie']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Archer Queen', 'Earthquake', 'Electro Spirit', 'Hunter', 'Royal Delivery', 'Royal Hogs', 'Skeletons', 'The Log']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Balloon', 'Barbarians', 'Ice Wizard', 'Inferno Dragon', 'Royal Hogs', 'Skeleton Army', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Baby Dragon', 'Barbarian Barrel', 'Electro Wizard', 'Giant Snowball', 'Golden Knight', 'Lightning', 'P.E.K.K.A', 'Ram Rider']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Bats', 'Inferno Dragon', 'Mega Knight', 'Mini P.E.K.K.A', 'P.E.K.K.A', 'Wizard', 'Zap']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Barbarians', 'Electro Wizard', 'Fireball', 'Firecracker', 'Prince', 'Princess', 'Royal Giant', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Executioner', 'Guards', 'Hog Rider', 'Ice Spirit', 'Rocket', 'The Log', 'Tornado', 'Valkyrie']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Bandit', 'Elite Barbarians', 'Firecracker', 'Goblin Drill', 'Princess', 'Royal Ghost', 'Royal Recruits', 'Wall Breakers']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Baby Dragon', 'Bats', 'Clone', 'Golem', 'Lumberjack', 'Night Witch', 'Skeleton Army']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Goblin Barrel', 'Goblin Gang', 'Ice Spirit', 'Inferno Tower', 'Knight', 'Princess', 'Rocket', 'The Log']",p2
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Arrows', 'Bomber', 'Giant Skeleton', 'Goblin Barrel', 'Mother Witch', 'Royal Giant', 'Skeleton Army', 'Zappies']",p1
"['Archer Queen', 'Electro Spirit', 'Fireball', 'Knight', 'Skeletons', 'Tesla', 'The Log', 'X-Bow']","['Baby Dragon', 'Balloon', 'Barbarian Barrel', 'Bowler', 'Freeze', 'Inferno Dragon', 'Lumberjack', 'Tornado']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Barbarian Barrel', 'Barbarians', 'Fireball', 'Flying Machine', 'Goblin Hut', 'Mother Witch', 'Royal Hogs', 'Zappies']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Cannon Cart', 'Elite Barbarians', 'Elixir Collector', 'Heal Spirit', 'Mega Knight', 'Minion Horde', 'Rage', 'Wizard']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Dark Prince', 'Fireball', 'Fisherman', 'Goblin Cage', 'Mega Minion', 'Mother Witch', 'Royal Giant', 'The Log']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Bomb Tower', 'Graveyard', 'Ice Wizard', 'Knight', 'Poison', 'Tornado']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Barbarian Barrel', 'Fireball', 'Flying Machine', 'Goblin Cage', 'Mother Witch', 'Royal Hogs', 'Royal Recruits', 'Zappies']",p1
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Arrows', 'Baby Dragon', 'Barbarians', 'Flying Machine', 'Goblin Hut', 'Lava Hound', 'Mega Minion', 'Miner']",p2
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Ice Wizard', 'Lightning', 'Night Witch', 'Tornado']",p2
"['Archer Queen', 'Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Bandit', 'Barbarian Barrel', 'Electro Wizard', 'Inferno Dragon', 'Mega Knight', 'Mother Witch', 'Poison', 'Ram Rider']",p1
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Barbarian Barrel', 'Bowler', 'Giant Snowball', 'Golem', 'Graveyard', 'Inferno Dragon', 'Mega Minion', 'Tornado']",p2
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Firecracker', 'Goblin Barrel', 'Goblin Gang', 'Skeleton Army', 'Skeleton Barrel', 'Tesla', 'Valkyrie', 'Wall Breakers']",p1
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Baby Dragon', 'Bomber', 'Dark Prince', 'Freeze', 'Goblin Cage', 'Graveyard', 'Mega Minion', 'Tornado']",p2
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Archer Queen', 'Arrows', 'Bats', 'Clone', 'Golem', 'Night Witch', 'Skeleton Army', 'Skeleton Barrel']",p1
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Dark Prince', 'Electro Wizard', 'Fireball', 'Fisherman', 'Hog Rider', 'Mother Witch', 'P.E.K.K.A', 'Zap']",p1
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Bomber', 'Dark Prince', 'Electro Giant', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'Mother Witch', 'Tornado']",p1
"['Baby Dragon', 'Barbarian Barrel', 'Bomber', 'Fireball', 'Goblin Cage', 'Graveyard', 'Knight', 'Tornado']","['Arrows', 'Balloon', 'Electro Wizard', 'Fireball', 'Giant', 'Minions', 'Night Witch', 'Prince']",p2
"['Bandit', 'Barbarian Barrel', 'Battle Ram', 'Cannon Cart', 'Electro Wizard', 'Giant Snowball', 'Magic Archer', 'Royal Ghost']","['Baby Dragon', 'Bats', 'Bowler', 'Electro Wizard', 'Graveyard', 'Knight', 'Poison', 'Tornado']",p2
