p1,p2,Winner
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Dark Prince', 'Electro Giant', 'Electro Spirit', 'Goblin Cage', 'Inferno Dragon', 'Lightning', 'The Log', 'Tornado']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Cannon Cart', 'Fire Spirit', 'Fireball', 'Miner', 'Minion Horde', 'Mortar', 'Spear Goblins', 'The Log']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Barbarian Barrel', 'Battle Healer', 'Electro Dragon', 'Elite Barbarians', 'Elixir Golem', 'Inferno Dragon', 'Rage', 'Tornado']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Arrows', 'Bats', 'Giant', 'Mini P.E.K.K.A', 'Minion Horde', 'Skeleton Army', 'Sparky', 'Zap']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Bats', 'Dark Prince', 'Fireball', 'Goblin Gang', 'Goblin Giant', 'Prince', 'Spear Goblins', 'Zap']",p2
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Lightning', 'Mega Minion', 'Tornado']",p1
"['Balloon', 'Barbarians', 'Fireball', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']","['Baby Dragon', 'Barbarian Barrel', 'Electro Wizard', 'Lightning', 'Prince', 'Royal Giant', 'Valkyrie', 'Zap']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Arrows', 'Dark Prince', 'Fireball', 'Giant', 'Graveyard', 'Musketeer', 'Night Witch', 'Skeleton Army']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Dart Goblin', 'Goblin Barrel', 'Goblin Gang', 'Prince', 'Princess', 'Rascals', 'Rocket', 'The Log']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Archer Queen', 'Bats', 'Fireball', 'Mega Knight', 'Mini P.E.K.K.A', 'Mother Witch', 'Royal Hogs', 'The Log']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Bomber', 'Fire Spirit', 'Fireball', 'Goblin Drill', 'Guards', 'Tesla', 'Valkyrie', 'Wall Breakers']",p2
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Cannon Cart', 'Clone', 'Furnace', 'Giant Skeleton', 'Skeleton Barrel', 'Skeleton King', 'Tornado', 'Witch']",p2
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Dark Prince', 'Electro Wizard', 'Elite Barbarians', 'Goblin Giant', 'Mega Minion', 'Rage', 'Sparky', 'Zap']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Balloon', 'Dark Prince', 'Electro Wizard', 'Mini P.E.K.K.A', 'Rage', 'Ram Rider', 'Valkyrie', 'Zap']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Archer Queen', 'Dark Prince', 'Fireball', 'Giant', 'Mega Minion', 'Miner', 'Prince', 'Zap']",p1
"['Arrows', 'Goblin Gang', 'Golem', 'Inferno Tower', 'Lightning', 'Minion Horde', 'Night Witch', 'Skeleton Army']","['Arrows', 'Battle Healer', 'Bomber', 'Electro Dragon', 'Elite Barbarians', 'Elixir Golem', 'Inferno Dragon', 'Rage']",p1
"['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']","['Arrows', 'Electro Wizard', 'Fireball', 'Hog Rider', 'Inferno Dragon', 'Mega Knight', 'Mini P.E.K.K.A', 'Valkyrie']",p1
"['Cannon Cart', 'Clone', 'Flying Machine', 'Giant Skeleton', 'Goblin Hut', 'Mother Witch', 'Skeleton Barrel', 'Tornado']","['Elite Barbarians', 'Goblin Giant', 'Heal Spirit', 'Mega Minion', 'Mother Witch', 'Rage', 'Sparky', 'Zap']",p1
"['Cannon Cart', 'Clone', 'Flying Machine', 'Giant Skeleton', 'Goblin Hut', 'Mother Witch', 'Skeleton Barrel', 'Tornado']","['Baby Dragon', 'Bomber', 'Golem', 'Lightning', 'Mega Minion', 'Mini P.E.K.K.A', 'Night Witch', 'Tornado']",p1
"['Cannon Cart', 'Clone', 'Flying Machine', 'Giant Skeleton', 'Goblin Hut', 'Mother Witch', 'Skeleton Barrel', 'Tornado']","['Bats', 'Fireball', 'Goblin Gang', 'Inferno Dragon', 'Mega Knight', 'Prince', 'Skeleton Barrel', 'Zap']",p1
"['Cannon Cart', 'Clone', 'Flying Machine', 'Giant Skeleton', 'Goblin Hut', 'Mother Witch', 'Skeleton Barrel', 'Tornado']","['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']",p2
"['Electro Spirit', 'Fireball', 'Fisherman', 'Hunter', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Balloon', 'Fireball', 'Guards', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']",p1
"['Electro Spirit', 'Fireball', 'Fisherman', 'Hunter', 'Mother Witch', 'Royal Giant', 'Skeletons', 'The Log']","['Baby Dragon', 'Bats', 'Clone', 'Fireball', 'Flying Machine', 'Lava Hound', 'Lumberjack', 'Skeleton Army']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Elite Barbarians', 'Goblin Giant', 'Heal Spirit', 'Mega Minion', 'Rage', 'Sparky', 'Zap', 'Zappies']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Archer Queen', 'Cannon Cart', 'Fireball', 'Furnace', 'Goblin Hut', 'Mother Witch', 'Royal Delivery', 'Royal Recruits']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Cannon Cart', 'Elite Barbarians', 'Fireball', 'Furnace', 'Goblin Hut', 'Mega Minion', 'Mother Witch', 'The Log']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Archer Queen', 'Cannon Cart', 'Clone', 'Fireball', 'Giant Skeleton', 'Skeleton Barrel', 'Tornado', 'Zappies']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Bandit', 'Battle Ram', 'Electro Wizard', 'Fireball', 'Magic Archer', 'P.E.K.K.A', 'Royal Ghost', 'Zap']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Balloon', 'Fireball', 'Guards', 'Lava Hound', 'Mega Minion', 'Skeleton Dragons', 'Tombstone', 'Zap']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Bandit', 'Battle Ram', 'Dark Prince', 'Electro Wizard', 'Magic Archer', 'P.E.K.K.A', 'Poison', 'Zap']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Archer Queen', 'Bandit', 'Barbarian Barrel', 'Heal Spirit', 'Ice Golem', 'Royal Ghost', 'Royal Hogs', 'Three Musketeers']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Archer Queen', 'Baby Dragon', 'Barbarian Barrel', 'Goblin Cage', 'Golem', 'Lightning', 'Mega Minion', 'Tornado']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Bats', 'Goblin Gang', 'Inferno Dragon', 'Mega Knight', 'Miner', 'Skeleton Barrel', 'Spear Goblins', 'Zap']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Barbarians', 'Battle Healer', 'Fireball', 'Giant Skeleton', 'Goblin Hut', 'Ice Wizard', 'Minion Horde', 'Mortar']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Baby Dragon', 'Bandit', 'Electro Dragon', 'Elixir Collector', 'Golem', 'Lumberjack', 'Skeleton Army', 'Tornado']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Cannon Cart', 'Fireball', 'Goblin Gang', 'Miner', 'Minion Horde', 'Mortar', 'Spear Goblins', 'The Log']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Bandit', 'Barbarian Barrel', 'Flying Machine', 'Goblin Hut', 'Mega Knight', 'Mother Witch', 'Poison', 'Zappies']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Baby Dragon', 'Bandit', 'Barbarian Barrel', 'Electro Wizard', 'Fireball', 'P.E.K.K.A', 'Ram Rider', 'Zap']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Balloon', 'Fireball', 'Guards', 'Inferno Dragon', 'Lava Hound', 'Miner', 'Minions', 'Zap']",p2
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Baby Dragon', 'Bowler', 'Freeze', 'Graveyard', 'Ice Wizard', 'Inferno Dragon', 'Tornado', 'Valkyrie']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Dark Prince', 'Electro Wizard', 'Fireball', 'Golem', 'Mega Minion', 'Night Witch', 'Prince', 'Tornado']",p1
"['Barbarian Barrel', 'Cannon Cart', 'Elite Barbarians', 'Fireball', 'Flying Machine', 'Furnace', 'Goblin Hut', 'Mother Witch']","['Bandit', 'Barbarian Barrel', 'Fireball', 'Flying Machine', 'Furnace', 'Mega Knight', 'Skeleton Army', 'Zappies']",p1
